program,tool_id,item,vendor,lead_time_days_planned,lead_time_days_actual,expedite_spend_usd,expedite_reason,need_by_date,promise_date,received_date
Orion-Ramp,T-OR-03,Gas Box,VendorF,148,177,5534.06,Rework,2025-08-06,2025-07-23,2025-08-05
Nova-Upgrade,T-NO-05,Control Cabinet,VendorE,48,41,0.0,,2025-11-27,2025-11-06,
Atlas-Sustaining,T-AT-03,Vac Pump,VendorA,95,82,0.0,,2025-11-28,2025-11-26,2025-12-09
Helios-NewBay,T-HE-07,Control Cabinet,VendorC,75,86,866.99,Capacity constraint,2026-06-01,2026-05-11,2026-05-06
Phoenix-ETD,T-PH-08,Chiller,VendorB,94,137,0.0,,2025-11-08,2025-11-19,
Nova-Upgrade,T-NO-03,Vac Pump,VendorA,63,98,0.0,,2026-01-22,2025-12-25,2026-01-03
Helios-NewBay,T-HE-07,Sensors Kit,VendorD,153,202,0.0,,2026-04-20,2026-03-13,2026-04-03
Orion-Ramp,T-OR-03,Valve Manifold,VendorC,177,189,0.0,,2026-01-09,2025-12-11,
Helios-NewBay,T-HE-07,Pressure Transducer,VendorA,24,62,0.0,,2026-02-11,2026-01-29,2026-01-29
Nova-Upgrade,T-NO-07,Sensors Kit,VendorB,37,25,7101.57,Missing parts,2025-09-17,2025-08-27,2025-09-02
Nova-Upgrade,T-NO-07,Valve Manifold,VendorA,85,139,2494.33,Capacity constraint,2025-11-11,2025-11-24,2025-12-15
Helios-NewBay,T-HE-04,MFC,VendorB,135,134,10452.97,Supplier expedite,2025-08-24,2025-07-31,2025-08-28
Orion-Ramp,T-OR-08,Pressure Transducer,VendorB,120,119,0.0,,2025-07-13,2025-06-12,2025-06-12
Atlas-Sustaining,T-AT-03,MFC,VendorF,117,186,0.0,,2025-08-26,2025-08-14,
Helios-NewBay,T-HE-04,Vac Pump,VendorF,28,60,0.0,,2026-04-26,2026-05-16,
Helios-NewBay,T-HE-02,MFC,VendorE,31,21,2168.9,Supplier expedite,2026-01-23,2026-02-01,
Orion-Ramp,T-OR-06,MFC,VendorB,94,73,0.0,,2026-03-03,2026-03-07,2026-04-03
Nova-Upgrade,T-NO-06,Chiller,VendorA,138,180,7233.73,Priority build,2026-05-06,2026-05-09,2026-06-02
Atlas-Sustaining,T-AT-05,Pressure Transducer,VendorC,95,123,957.63,Late ECO,2025-08-16,2025-08-20,2025-08-20
Phoenix-ETD,T-PH-06,Control Cabinet,VendorB,129,164,0.0,,2026-06-23,2026-06-25,
Helios-NewBay,T-HE-08,Tool Frame,VendorE,125,115,0.0,,2026-06-09,2026-05-13,2026-05-16
Phoenix-ETD,T-PH-02,Control Cabinet,VendorF,37,42,0.0,,2026-04-28,2026-05-14,2026-05-29
Helios-NewBay,T-HE-07,Gas Box,VendorE,151,155,0.0,,2025-08-21,2025-08-10,2025-08-23
Atlas-Sustaining,T-AT-09,Control Cabinet,VendorA,49,66,0.0,,2026-03-07,2026-02-18,2026-02-27
Atlas-Sustaining,T-AT-10,Vac Pump,VendorC,60,24,0.0,,2025-09-25,2025-10-09,2025-10-07
Helios-NewBay,T-HE-08,RF Gen,VendorD,166,136,0.0,,2025-08-30,2025-08-24,2025-09-04
Nova-Upgrade,T-NO-02,Valve Manifold,VendorC,38,41,0.0,,2026-05-17,2026-05-17,2026-05-25
Helios-NewBay,T-HE-07,RF Gen,VendorD,60,69,0.0,,2025-08-19,2025-07-28,
Helios-NewBay,T-HE-05,MFC,VendorF,34,41,5762.42,Capacity constraint,2026-04-03,2026-02-27,2026-03-01
Atlas-Sustaining,T-AT-04,Pressure Transducer,VendorE,95,86,0.0,,2025-09-22,2025-08-22,
Phoenix-ETD,T-PH-03,Vac Pump,VendorC,57,59,0.0,,2025-12-28,2025-11-21,2025-11-15
Orion-Ramp,T-OR-04,Gas Box,VendorB,41,47,4741.96,Missing parts,2025-07-23,2025-06-30,2025-06-29
Nova-Upgrade,T-NO-09,Valve Manifold,VendorB,91,71,8258.67,Capacity constraint,2026-05-31,2026-04-24,2026-05-11
Helios-NewBay,T-HE-01,Control Cabinet,VendorB,45,117,0.0,,2026-01-20,2025-12-24,2026-01-02
Helios-NewBay,T-HE-02,Valve Manifold,VendorD,101,148,0.0,,2026-03-16,2026-02-18,2026-02-25
Atlas-Sustaining,T-AT-06,Sensors Kit,VendorC,172,212,3634.68,Missing parts,2025-10-27,2025-11-02,2025-11-09
Atlas-Sustaining,T-AT-08,Pressure Transducer,VendorC,150,158,0.0,,2026-05-10,2026-05-05,
Helios-NewBay,T-HE-02,Tool Frame,VendorF,70,22,0.0,,2026-06-01,2026-04-27,
Nova-Upgrade,T-NO-09,Harness,VendorD,169,148,0.0,,2025-07-14,2025-07-27,2025-07-26
Helios-NewBay,T-HE-03,Pressure Transducer,VendorA,118,93,0.0,,2026-03-18,2026-03-12,
Helios-NewBay,T-HE-01,RF Gen,VendorB,105,121,0.0,,2025-10-08,2025-09-01,2025-08-22
Orion-Ramp,T-OR-10,Control Cabinet,VendorC,92,99,4052.96,Missing parts,2026-04-10,2026-04-16,2026-04-23
Helios-NewBay,T-HE-01,Control Cabinet,VendorA,40,84,0.0,,2026-04-15,2026-04-20,2026-05-05
Orion-Ramp,T-OR-01,Chiller,VendorD,59,91,6363.96,Priority build,2025-09-14,2025-09-14,2025-09-08
Helios-NewBay,T-HE-01,Sensors Kit,VendorE,134,173,3500.26,Rework,2025-12-02,2025-12-09,2026-01-06
Nova-Upgrade,T-NO-02,Gas Box,VendorD,135,60,0.0,,2025-11-15,2025-12-05,2025-12-07
Phoenix-ETD,T-PH-09,Tool Frame,VendorD,97,75,0.0,,2025-09-19,2025-09-16,
Atlas-Sustaining,T-AT-01,Control Cabinet,VendorE,23,8,0.0,,2026-02-20,2026-01-14,
Nova-Upgrade,T-NO-04,MFC,VendorC,102,99,0.0,,2025-12-16,2025-12-19,2025-12-11
Nova-Upgrade,T-NO-03,Harness,VendorC,109,137,4158.32,Late ECO,2025-09-14,2025-09-24,2025-09-14
Nova-Upgrade,T-NO-07,Gas Box,VendorD,31,74,0.0,,2026-01-14,2026-02-02,2026-01-25
Phoenix-ETD,T-PH-01,MFC,VendorB,46,30,768.46,Supplier expedite,2025-08-02,2025-07-13,
Nova-Upgrade,T-NO-04,Valve Manifold,VendorB,110,150,7702.49,Priority build,2025-10-08,2025-09-29,
Nova-Upgrade,T-NO-05,Gas Box,VendorB,119,130,6869.72,Missing parts,2025-10-22,2025-09-16,2025-10-11
Helios-NewBay,T-HE-08,RF Gen,VendorE,148,151,7508.95,Air freight,2025-10-05,2025-10-23,2025-11-12
Atlas-Sustaining,T-AT-02,Gas Box,VendorE,21,53,5501.36,Capacity constraint,2025-11-28,2025-12-06,2025-12-26
Orion-Ramp,T-OR-06,Tool Frame,VendorC,172,162,0.0,,2025-11-26,2025-10-27,2025-11-15
Atlas-Sustaining,T-AT-07,RF Gen,VendorB,161,146,0.0,,2025-07-23,2025-07-19,
Helios-NewBay,T-HE-08,Control Cabinet,VendorE,106,106,534.97,Late ECO,2025-12-19,2025-12-03,2025-12-29
Orion-Ramp,T-OR-10,Valve Manifold,VendorC,152,141,414.77,Late ECO,2026-01-01,2025-12-27,2026-01-19
Helios-NewBay,T-HE-02,Valve Manifold,VendorC,141,148,574.76,Rework,2025-12-25,2026-01-09,2026-02-02
Nova-Upgrade,T-NO-04,Sensors Kit,VendorB,23,36,4825.76,Rework,2026-06-18,2026-06-16,2026-07-14
Orion-Ramp,T-OR-05,Chiller,VendorB,111,127,4376.86,Priority build,2025-11-20,2025-11-15,2025-11-12
Orion-Ramp,T-OR-02,RF Gen,VendorD,124,144,0.0,,2026-05-29,2026-05-28,2026-06-21
Phoenix-ETD,T-PH-08,Chiller,VendorB,68,127,0.0,,2025-12-17,2025-11-25,2025-12-05
Phoenix-ETD,T-PH-05,RF Gen,VendorD,75,118,0.0,,2025-10-08,2025-09-23,2025-10-20
Atlas-Sustaining,T-AT-05,Sensors Kit,VendorF,114,174,0.0,,2025-08-14,2025-08-05,2025-07-28
Phoenix-ETD,T-PH-05,Control Cabinet,VendorA,33,57,8427.6,Priority build,2026-04-11,2026-03-07,2026-03-12
Helios-NewBay,T-HE-02,Chiller,VendorB,31,31,6186.3,Air freight,2026-06-27,2026-06-17,
Helios-NewBay,T-HE-01,Sensors Kit,VendorC,167,199,0.0,,2025-11-18,2025-11-25,2025-12-15
Phoenix-ETD,T-PH-10,MFC,VendorD,127,169,0.0,,2025-11-08,2025-11-14,
Phoenix-ETD,T-PH-04,Vac Pump,VendorB,61,78,3646.24,Rework,2026-05-02,2026-05-22,
Helios-NewBay,T-HE-02,MFC,VendorE,160,219,0.0,,2025-09-08,2025-08-26,2025-09-01
Orion-Ramp,T-OR-05,Sensors Kit,VendorD,101,148,0.0,,2026-01-22,2026-01-06,2026-02-04
Nova-Upgrade,T-NO-10,Control Cabinet,VendorA,66,111,0.0,,2025-11-26,2025-12-07,2025-12-11
Nova-Upgrade,T-NO-06,Vac Pump,VendorC,42,42,0.0,,2025-10-20,2025-11-03,2025-10-29
Helios-NewBay,T-HE-03,Sensors Kit,VendorE,149,205,0.0,,2025-10-26,2025-09-18,2025-10-07
Phoenix-ETD,T-PH-07,Gas Box,VendorC,173,201,3406.43,Capacity constraint,2026-03-25,2026-04-08,2026-04-16
Phoenix-ETD,T-PH-04,Pressure Transducer,VendorC,168,174,0.0,,2026-03-03,2026-01-27,2026-02-19
Orion-Ramp,T-OR-01,Pressure Transducer,VendorB,118,177,0.0,,2026-03-31,2026-04-18,2026-04-22
Phoenix-ETD,T-PH-09,RF Gen,VendorE,128,115,4484.25,Rework,2025-07-24,2025-07-21,2025-07-27
Nova-Upgrade,T-NO-10,Chiller,VendorB,44,60,8043.54,Air freight,2026-03-26,2026-03-23,
Phoenix-ETD,T-PH-10,RF Gen,VendorB,26,27,5567.68,Priority build,2025-11-15,2025-11-23,2025-11-28
Orion-Ramp,T-OR-10,Tool Frame,VendorC,147,183,12124.89,Priority build,2026-03-13,2026-03-09,2026-04-06
Nova-Upgrade,T-NO-10,Vac Pump,VendorA,164,180,8210.98,Missing parts,2025-09-10,2025-09-09,2025-09-29
Orion-Ramp,T-OR-07,MFC,VendorD,114,117,7949.4,Priority build,2026-03-08,2026-02-23,2026-03-11
Atlas-Sustaining,T-AT-10,Control Cabinet,VendorF,93,170,8563.5,Supplier expedite,2026-04-01,2026-03-12,2026-04-07
Orion-Ramp,T-OR-06,Vac Pump,VendorE,58,71,0.0,,2025-11-09,2025-11-06,2025-11-19
Nova-Upgrade,T-NO-09,Control Cabinet,VendorB,156,187,0.0,,2026-03-03,2026-03-08,2026-04-03
Nova-Upgrade,T-NO-01,Harness,VendorD,122,174,6814.66,Rework,2026-03-10,2026-03-07,
Nova-Upgrade,T-NO-05,MFC,VendorB,167,193,0.0,,2025-12-28,2025-12-03,2025-12-03
Phoenix-ETD,T-PH-10,Valve Manifold,VendorC,36,101,0.0,,2026-06-14,2026-06-26,2026-06-26
Phoenix-ETD,T-PH-01,Chiller,VendorE,129,146,7371.46,Air freight,2026-05-12,2026-05-25,2026-06-14
Phoenix-ETD,T-PH-05,Valve Manifold,VendorA,118,183,0.0,,2026-03-29,2026-03-28,2026-04-22
Orion-Ramp,T-OR-01,Control Cabinet,VendorB,65,65,0.0,,2025-09-11,2025-09-20,
Orion-Ramp,T-OR-05,Tool Frame,VendorB,179,157,9470.45,Priority build,2026-01-07,2026-01-18,
Phoenix-ETD,T-PH-06,Control Cabinet,VendorF,145,154,0.0,,2026-01-29,2025-12-26,2026-01-15
Atlas-Sustaining,T-AT-10,RF Gen,VendorD,24,66,0.0,,2025-09-14,2025-09-27,2025-09-25
Nova-Upgrade,T-NO-03,Tool Frame,VendorA,172,133,0.0,,2026-01-30,2026-01-21,
Helios-NewBay,T-HE-04,RF Gen,VendorB,142,107,0.0,,2026-01-22,2025-12-18,2025-12-09
Helios-NewBay,T-HE-03,Chiller,VendorA,34,49,0.0,,2025-08-31,2025-08-02,2025-08-02
Helios-NewBay,T-HE-08,Chiller,VendorF,54,39,0.0,,2026-01-16,2026-02-04,2026-01-25
Nova-Upgrade,T-NO-01,Harness,VendorA,89,136,15037.64,Late ECO,2026-03-29,2026-02-19,
Phoenix-ETD,T-PH-06,Valve Manifold,VendorA,162,168,1551.79,Air freight,2025-07-08,2025-06-07,2025-07-02
Nova-Upgrade,T-NO-02,Vac Pump,VendorA,138,153,0.0,,2026-03-13,2026-03-14,2026-03-11
Orion-Ramp,T-OR-07,Pressure Transducer,VendorE,153,180,0.0,,2026-05-07,2026-04-23,2026-05-15
Helios-NewBay,T-HE-06,Harness,VendorA,81,70,5214.69,Capacity constraint,2026-05-07,2026-05-03,2026-05-24
Nova-Upgrade,T-NO-03,Pressure Transducer,VendorA,155,145,0.0,,2025-07-08,2025-07-12,2025-07-16
Atlas-Sustaining,T-AT-09,Vac Pump,VendorD,112,99,0.0,,2026-02-15,2026-01-19,2026-02-02
Helios-NewBay,T-HE-09,Control Cabinet,VendorD,105,169,1834.88,Supplier expedite,2025-11-11,2025-11-09,2025-12-07
Orion-Ramp,T-OR-04,MFC,VendorF,45,55,3776.84,Air freight,2025-07-08,2025-06-13,2025-06-27
Helios-NewBay,T-HE-10,Gas Box,VendorB,144,117,0.0,,2025-08-25,2025-07-19,
Atlas-Sustaining,T-AT-10,Tool Frame,VendorF,150,137,0.0,,2025-11-30,2025-11-21,2025-12-05
Phoenix-ETD,T-PH-01,MFC,VendorA,145,186,6355.02,Priority build,2025-11-09,2025-11-21,
Helios-NewBay,T-HE-07,Vac Pump,VendorC,100,62,0.0,,2026-04-16,2026-03-21,2026-03-12
Phoenix-ETD,T-PH-08,Harness,VendorA,45,69,0.0,,2025-08-30,2025-08-25,2025-08-17
Orion-Ramp,T-OR-06,Gas Box,VendorE,34,8,0.0,,2026-02-05,2026-01-07,2026-01-17
Phoenix-ETD,T-PH-01,Gas Box,VendorB,99,110,3511.95,Supplier expedite,2025-10-07,2025-09-24,2025-09-28
Helios-NewBay,T-HE-10,RF Gen,VendorD,51,15,843.25,Rework,2026-06-27,2026-06-27,2026-06-29
Phoenix-ETD,T-PH-03,Control Cabinet,VendorA,73,83,0.0,,2025-08-08,2025-07-10,2025-07-07
Orion-Ramp,T-OR-05,Pressure Transducer,VendorB,111,107,12009.03,Air freight,2026-05-05,2026-04-03,2026-04-06
Phoenix-ETD,T-PH-06,Control Cabinet,VendorF,99,161,0.0,,2025-11-29,2025-11-29,
Orion-Ramp,T-OR-09,Valve Manifold,VendorC,121,119,256.14,Rework,2026-05-12,2026-04-13,2026-04-04
Nova-Upgrade,T-NO-06,Chiller,VendorC,161,161,194.44,Air freight,2026-02-28,2026-01-24,2026-02-12
Helios-NewBay,T-HE-08,Control Cabinet,VendorB,117,102,0.0,,2026-06-22,2026-05-24,2026-06-04
Helios-NewBay,T-HE-07,Tool Frame,VendorD,127,139,4085.35,Priority build,2026-04-13,2026-04-21,
Atlas-Sustaining,T-AT-04,Chiller,VendorD,62,87,0.0,,2026-04-17,2026-03-21,2026-03-15
Helios-NewBay,T-HE-07,Gas Box,VendorD,66,60,2231.07,Late ECO,2025-10-17,2025-10-23,
Nova-Upgrade,T-NO-08,Tool Frame,VendorB,165,200,0.0,,2025-11-05,2025-11-20,2025-12-08
Helios-NewBay,T-HE-08,Gas Box,VendorC,55,58,0.0,,2026-05-02,2026-05-18,2026-05-30
Helios-NewBay,T-HE-01,MFC,VendorA,57,94,0.0,,2026-05-23,2026-05-20,2026-06-08
Phoenix-ETD,T-PH-02,Sensors Kit,VendorE,175,226,0.0,,2025-07-28,2025-06-27,2025-06-20
Nova-Upgrade,T-NO-01,Gas Box,VendorE,103,137,9394.45,Missing parts,2026-06-02,2026-05-25,
Nova-Upgrade,T-NO-10,Control Cabinet,VendorF,118,99,0.0,,2026-04-22,2026-04-20,
Orion-Ramp,T-OR-09,Sensors Kit,VendorA,100,163,0.0,,2026-05-26,2026-04-27,2026-04-20
Phoenix-ETD,T-PH-09,Tool Frame,VendorE,140,154,0.0,,2026-03-05,2026-03-19,2026-04-05
Helios-NewBay,T-HE-05,Valve Manifold,VendorB,127,129,12604.28,Capacity constraint,2026-05-14,2026-04-05,2026-03-27
Helios-NewBay,T-HE-02,Harness,VendorB,36,38,0.0,,2026-06-13,2026-06-03,2026-05-29
Nova-Upgrade,T-NO-02,MFC,VendorC,130,177,0.0,,2026-02-05,2025-12-29,2026-01-18
Orion-Ramp,T-OR-10,Harness,VendorF,174,186,12.7,Supplier expedite,2025-11-04,2025-10-29,2025-11-07
Orion-Ramp,T-OR-10,Gas Box,VendorA,148,124,0.0,,2026-01-27,2026-01-20,2026-02-17
Atlas-Sustaining,T-AT-01,Tool Frame,VendorE,144,165,0.0,,2025-12-12,2025-11-04,2025-10-28
Phoenix-ETD,T-PH-02,Sensors Kit,VendorF,94,132,1218.34,Priority build,2026-03-09,2026-02-22,2026-02-13
Helios-NewBay,T-HE-10,Sensors Kit,VendorD,99,107,0.0,,2026-05-25,2026-06-06,
Atlas-Sustaining,T-AT-04,MFC,VendorC,74,66,0.0,,2026-01-19,2026-01-22,2026-01-28
Nova-Upgrade,T-NO-05,Vac Pump,VendorC,23,93,0.0,,2025-09-07,2025-09-02,
Phoenix-ETD,T-PH-06,Chiller,VendorF,74,102,922.01,Rework,2025-12-11,2025-11-27,2025-12-20
Phoenix-ETD,T-PH-07,Vac Pump,VendorA,110,135,0.0,,2025-12-27,2025-12-20,
Helios-NewBay,T-HE-04,Tool Frame,VendorC,58,75,0.0,,2025-09-23,2025-09-13,2025-10-02
Orion-Ramp,T-OR-10,Pressure Transducer,VendorF,127,153,8563.99,Rework,2025-11-01,2025-09-29,
Helios-NewBay,T-HE-02,RF Gen,VendorD,122,164,9325.76,Late ECO,2025-11-30,2025-11-27,2025-12-03
Nova-Upgrade,T-NO-07,Tool Frame,VendorD,136,162,0.0,,2025-08-21,2025-09-07,
Helios-NewBay,T-HE-04,Sensors Kit,VendorC,84,124,0.0,,2026-05-12,2026-04-11,2026-04-19
Phoenix-ETD,T-PH-03,Tool Frame,VendorD,90,183,0.0,,2025-09-02,2025-07-25,2025-07-31
Helios-NewBay,T-HE-02,Tool Frame,VendorD,49,87,0.0,,2025-08-29,2025-08-08,2025-08-01
Nova-Upgrade,T-NO-01,Vac Pump,VendorC,51,59,3240.45,Air freight,2025-09-13,2025-08-24,2025-09-05
Helios-NewBay,T-HE-10,RF Gen,VendorA,101,86,1127.4,Rework,2025-10-02,2025-10-10,
Helios-NewBay,T-HE-01,Vac Pump,VendorC,103,181,2599.48,Capacity constraint,2026-04-11,2026-03-12,
Orion-Ramp,T-OR-01,Valve Manifold,VendorA,49,53,6402.37,Air freight,2026-01-16,2025-12-25,2026-01-17
Nova-Upgrade,T-NO-04,Valve Manifold,VendorF,144,109,0.0,,2025-09-14,2025-09-14,
Helios-NewBay,T-HE-09,Pressure Transducer,VendorA,166,203,0.0,,2025-08-11,2025-08-04,2025-08-10
Helios-NewBay,T-HE-10,Tool Frame,VendorE,65,87,1495.5,Air freight,2025-07-22,2025-07-04,2025-08-02
Nova-Upgrade,T-NO-05,RF Gen,VendorD,126,97,750.03,Capacity constraint,2025-11-17,2025-11-26,2025-12-11
Phoenix-ETD,T-PH-02,MFC,VendorE,97,144,7051.78,Air freight,2026-03-19,2026-04-08,
Nova-Upgrade,T-NO-03,Pressure Transducer,VendorA,50,112,108.3,Air freight,2026-01-05,2025-12-14,2026-01-01
Helios-NewBay,T-HE-05,Vac Pump,VendorB,94,122,4022.91,Late ECO,2026-03-29,2026-02-25,
Atlas-Sustaining,T-AT-02,Sensors Kit,VendorA,155,248,4305.35,Missing parts,2026-03-13,2026-03-20,2026-03-15
Nova-Upgrade,T-NO-07,Pressure Transducer,VendorC,118,137,9537.68,Supplier expedite,2025-07-29,2025-06-21,2025-06-15
Orion-Ramp,T-OR-02,Harness,VendorE,131,115,5683.65,Air freight,2025-11-21,2025-11-17,2025-11-08
Phoenix-ETD,T-PH-08,RF Gen,VendorA,179,208,2243.44,Capacity constraint,2026-03-02,2026-01-28,
Atlas-Sustaining,T-AT-10,Chiller,VendorE,76,80,0.0,,2025-11-19,2025-10-25,
Phoenix-ETD,T-PH-07,Gas Box,VendorE,89,128,5021.63,Priority build,2025-10-16,2025-09-25,2025-10-22
Orion-Ramp,T-OR-02,MFC,VendorC,84,112,2543.8,Missing parts,2025-08-10,2025-07-31,2025-08-06
Atlas-Sustaining,T-AT-06,Pressure Transducer,VendorA,54,64,5317.83,Capacity constraint,2026-02-04,2025-12-28,2025-12-21
Atlas-Sustaining,T-AT-02,MFC,VendorB,103,152,0.0,,2026-01-27,2026-01-21,
Atlas-Sustaining,T-AT-10,Control Cabinet,VendorA,29,76,0.0,,2025-09-12,2025-08-17,
Helios-NewBay,T-HE-08,Valve Manifold,VendorE,29,8,2075.35,Priority build,2026-04-25,2026-04-17,2026-04-19
Helios-NewBay,T-HE-02,Harness,VendorA,177,212,0.0,,2025-09-02,2025-08-08,2025-08-16
Atlas-Sustaining,T-AT-06,RF Gen,VendorB,123,121,0.0,,2025-11-07,2025-11-23,2025-12-13
Atlas-Sustaining,T-AT-07,Chiller,VendorB,169,226,10942.74,Rework,2026-06-28,2026-06-24,2026-07-12
Nova-Upgrade,T-NO-01,Pressure Transducer,VendorC,168,139,0.0,,2026-03-23,2026-02-19,
Orion-Ramp,T-OR-10,Vac Pump,VendorF,146,128,0.0,,2025-08-09,2025-08-11,
Nova-Upgrade,T-NO-10,Sensors Kit,VendorE,139,189,0.0,,2026-02-11,2026-01-26,2026-01-26
Nova-Upgrade,T-NO-07,RF Gen,VendorC,148,156,0.0,,2025-11-09,2025-10-27,2025-11-22
Orion-Ramp,T-OR-05,MFC,VendorB,178,154,0.0,,2025-11-06,2025-10-04,2025-09-29
Orion-Ramp,T-OR-09,Harness,VendorD,64,107,11148.78,Late ECO,2026-02-12,2026-01-17,2026-01-19
Nova-Upgrade,T-NO-05,Sensors Kit,VendorA,131,129,7213.1,Missing parts,2026-04-22,2026-05-11,2026-05-26
Phoenix-ETD,T-PH-04,Pressure Transducer,VendorC,92,76,13417.82,Priority build,2025-07-16,2025-07-25,2025-08-12
Phoenix-ETD,T-PH-07,Control Cabinet,VendorA,161,136,7875.52,Missing parts,2025-07-10,2025-07-30,2025-08-08
Phoenix-ETD,T-PH-10,Tool Frame,VendorC,130,199,0.0,,2026-05-04,2026-05-24,2026-06-03
Atlas-Sustaining,T-AT-06,Valve Manifold,VendorE,127,161,0.0,,2025-12-24,2025-12-05,2025-12-19
Helios-NewBay,T-HE-01,Vac Pump,VendorF,169,161,9913.09,Rework,2026-01-21,2025-12-26,2026-01-01
Helios-NewBay,T-HE-08,Control Cabinet,VendorB,106,137,0.0,,2026-04-15,2026-04-08,2026-05-05
Atlas-Sustaining,T-AT-05,MFC,VendorD,121,139,0.0,,2026-05-31,2026-05-14,
Atlas-Sustaining,T-AT-03,Sensors Kit,VendorC,170,242,858.07,Capacity constraint,2026-03-11,2026-02-20,
Phoenix-ETD,T-PH-08,RF Gen,VendorE,45,9,0.0,,2026-02-19,2026-01-25,2026-02-07
Atlas-Sustaining,T-AT-06,Chiller,VendorD,167,188,0.0,,2025-09-12,2025-08-29,2025-08-25
Phoenix-ETD,T-PH-09,RF Gen,VendorD,79,113,0.0,,2025-08-21,2025-08-28,2025-09-24
Atlas-Sustaining,T-AT-02,Pressure Transducer,VendorA,29,74,0.0,,2025-12-17,2025-12-20,2025-12-11
Nova-Upgrade,T-NO-03,Tool Frame,VendorD,166,183,804.6,Priority build,2025-12-10,2025-11-12,2025-12-06
Helios-NewBay,T-HE-03,Pressure Transducer,VendorA,75,72,0.0,,2025-08-29,2025-09-09,2025-09-07
Nova-Upgrade,T-NO-04,Chiller,VendorB,164,133,0.0,,2026-03-27,2026-04-13,2026-05-06
Orion-Ramp,T-OR-06,Chiller,VendorC,114,158,0.0,,2026-04-16,2026-03-24,2026-03-30
Phoenix-ETD,T-PH-08,MFC,VendorF,69,80,1079.64,Rework,2025-08-20,2025-08-29,2025-08-24
Atlas-Sustaining,T-AT-08,Sensors Kit,VendorF,60,102,0.0,,2025-08-14,2025-08-09,
Orion-Ramp,T-OR-09,Vac Pump,VendorE,91,99,0.0,,2025-08-13,2025-07-05,
Orion-Ramp,T-OR-07,Valve Manifold,VendorA,67,60,8483.38,Priority build,2025-08-31,2025-09-16,2025-09-28
Nova-Upgrade,T-NO-04,Control Cabinet,VendorE,165,183,0.0,,2026-05-30,2026-05-21,2026-05-11
Atlas-Sustaining,T-AT-09,Pressure Transducer,VendorE,78,82,11897.09,Priority build,2025-08-19,2025-08-15,2025-09-10
Helios-NewBay,T-HE-02,RF Gen,VendorD,50,57,0.0,,2025-09-15,2025-09-12,2025-09-24
Helios-NewBay,T-HE-03,Control Cabinet,VendorD,49,24,5409.46,Air freight,2026-04-03,2026-04-18,2026-04-22
Nova-Upgrade,T-NO-03,Pressure Transducer,VendorA,130,120,6693.58,Supplier expedite,2025-07-07,2025-07-12,2025-07-13
Helios-NewBay,T-HE-05,Chiller,VendorA,111,161,4778.2,Late ECO,2026-01-23,2026-01-27,
Orion-Ramp,T-OR-07,Pressure Transducer,VendorB,58,128,0.0,,2025-10-23,2025-09-25,
Phoenix-ETD,T-PH-04,Tool Frame,VendorC,177,246,11692.39,Rework,2025-08-28,2025-08-19,
Atlas-Sustaining,T-AT-05,Sensors Kit,VendorC,109,137,898.99,Rework,2026-02-27,2026-01-24,2026-02-12
Helios-NewBay,T-HE-03,Control Cabinet,VendorB,170,208,7404.36,Air freight,2026-01-31,2026-01-14,
Nova-Upgrade,T-NO-03,Control Cabinet,VendorC,56,67,5856.01,Rework,2025-09-16,2025-08-23,
Helios-NewBay,T-HE-03,Chiller,VendorA,122,109,0.0,,2026-01-10,2026-01-27,2026-02-20
Atlas-Sustaining,T-AT-09,Harness,VendorB,151,126,15850.96,Priority build,2025-07-17,2025-07-19,
Phoenix-ETD,T-PH-04,Gas Box,VendorF,62,46,0.0,,2026-04-16,2026-03-30,
Orion-Ramp,T-OR-06,Pressure Transducer,VendorA,57,92,0.0,,2025-11-22,2025-12-02,2025-12-26
Atlas-Sustaining,T-AT-05,Vac Pump,VendorF,59,53,0.0,,2026-03-09,2026-02-04,
Nova-Upgrade,T-NO-05,Sensors Kit,VendorD,99,103,0.0,,2025-08-12,2025-08-06,2025-08-08
Helios-NewBay,T-HE-09,RF Gen,VendorC,83,48,7611.31,Capacity constraint,2025-11-04,2025-11-07,2025-11-27
Nova-Upgrade,T-NO-04,Harness,VendorE,77,81,0.0,,2025-11-07,2025-10-25,
Orion-Ramp,T-OR-04,RF Gen,VendorA,122,172,0.0,,2025-08-23,2025-08-10,
Atlas-Sustaining,T-AT-02,Pressure Transducer,VendorF,96,125,0.0,,2026-05-02,2026-04-28,2026-04-21
Helios-NewBay,T-HE-08,Chiller,VendorA,89,68,0.0,,2026-03-28,2026-03-04,
Phoenix-ETD,T-PH-05,Harness,VendorB,65,124,0.0,,2026-01-19,2026-01-16,2026-01-15
Helios-NewBay,T-HE-03,Tool Frame,VendorD,70,114,0.0,,2025-07-09,2025-07-14,
Orion-Ramp,T-OR-03,Pressure Transducer,VendorE,157,153,0.0,,2026-04-05,2026-04-23,2026-05-03
Orion-Ramp,T-OR-04,Harness,VendorA,103,107,0.0,,2026-02-11,2026-01-24,2026-02-16
Helios-NewBay,T-HE-06,RF Gen,VendorE,95,52,2819.49,Supplier expedite,2025-07-14,2025-06-17,2025-07-15
Phoenix-ETD,T-PH-09,MFC,VendorC,91,97,1745.64,Priority build,2026-06-05,2026-05-24,2026-05-22
